customer_id,tenure_days,monthly_fee,num_logins_last_30,support_tickets_last_90,is_auto_renew,num_payments_failed,avg_session_time,churn
1,103,50,14,1,1,0,21.32,0
2,436,70,16,2,0,0,13.42,0
3,861,50,6,0,0,0,13.69,0
4,271,30,11,1,1,0,13.7,0
5,107,70,9,3,1,0,15.65,0
6,72,20,17,1,0,0,5.42,0
7,701,10,11,0,0,0,16.68,0
8,21,10,6,1,0,0,11.05,1
9,615,30,17,0,1,0,17.48,0
10,122,50,12,0,0,1,19.09,1
11,467,20,13,2,1,0,20.94,0
12,215,70,9,0,0,1,15.21,0
13,331,50,13,3,1,1,7.13,0
14,459,30,12,0,1,0,8.01,0
15,88,50,15,1,1,1,10.87,0
16,373,30,15,1,1,0,18.03,0
17,100,100,6,2,1,0,17.17,0
18,872,10,8,0,1,0,18.38,0
19,664,10,12,2,1,2,14.5,0
20,131,50,10,1,1,0,11.66,0
21,662,20,11,1,1,0,10.57,0
22,309,70,11,2,1,0,14.29,0
23,770,30,10,4,1,0,15.35,1
24,344,70,7,3,1,0,19.87,0
25,492,10,10,3,0,0,13.25,1
26,414,20,9,0,0,0,6.9,0
27,806,20,10,0,1,0,14.04,0
28,386,70,11,0,0,0,12.32,0
29,192,10,5,0,1,0,20.03,0
30,956,70,11,1,0,0,11.19,0
31,277,50,15,1,1,0,17.24,0
32,161,20,6,0,1,0,14.35,1
33,460,20,9,1,1,1,12.39,0
34,314,50,4,1,1,0,13.94,1
35,22,10,6,0,1,0,11.96,0
36,253,20,8,4,1,1,17.43,1
37,748,100,6,2,0,0,7.02,1
38,857,100,8,2,0,0,11.68,0
39,561,100,8,1,1,0,20.0,0
40,475,30,9,1,0,0,7.8,0
41,59,30,13,3,1,0,17.61,0
42,511,10,14,0,0,1,18.35,0
43,682,50,10,1,1,0,13.04,0
44,476,70,9,2,1,0,11.66,0
45,700,10,17,3,1,0,13.82,0
46,976,70,9,1,1,0,5.69,0
47,783,10,11,0,0,1,5.64,1
48,190,30,9,3,1,0,10.95,0
49,958,100,8,0,0,1,15.56,0
50,687,50,12,1,1,0,13.32,0
51,958,30,7,1,0,0,13.4,0
52,563,50,12,1,1,3,12.74,1
53,876,70,11,3,0,0,11.32,0
54,567,10,10,0,1,0,25.81,0
55,244,20,15,4,1,0,18.85,0
56,832,20,13,3,1,1,7.58,0
57,505,50,8,1,1,1,11.78,0
58,131,100,7,0,0,0,10.8,0
59,485,100,12,3,1,0,16.1,0
60,819,50,10,0,1,0,11.06,0
61,647,30,11,2,1,1,19.33,0
62,21,20,5,4,1,1,15.12,1
63,841,30,13,2,0,0,13.4,0
64,167,70,13,2,1,0,17.53,0
65,274,20,12,1,1,0,12.55,1
66,388,70,6,1,1,1,10.84,0
67,601,10,7,0,0,0,16.91,0
68,316,30,14,1,0,0,16.47,1
69,14,50,9,1,1,0,9.45,0
70,242,20,6,1,1,0,12.24,0
71,777,30,6,2,1,0,19.56,0
72,346,50,4,0,1,0,12.92,0
73,565,10,11,0,1,0,20.82,0
74,898,20,8,0,1,0,12.77,0
75,340,70,12,1,1,0,20.55,0
76,92,10,8,4,1,0,12.18,0
77,367,100,9,0,0,0,15.88,0
78,956,50,7,1,0,0,18.79,0
79,455,20,11,2,0,0,14.5,0
80,428,20,11,1,0,1,15.91,0
81,509,10,8,0,1,0,11.8,0
82,776,20,8,1,1,1,12.29,0
83,943,50,11,1,1,0,15.95,0
84,35,10,7,2,1,0,18.64,0
85,206,70,7,1,1,1,9.12,1
86,81,10,8,2,1,1,8.75,0
87,932,10,6,2,1,1,8.1,0
88,562,70,7,2,0,0,15.67,0
89,872,100,7,5,1,1,15.98,1
90,388,50,11,3,1,1,14.21,1
91,2,100,4,3,0,0,8.57,1
92,390,100,7,1,0,0,14.51,0
93,566,100,10,1,1,1,24.64,0
94,106,30,7,0,0,0,18.63,0
95,772,100,9,3,0,0,13.09,0
96,822,30,13,1,1,0,18.95,0
97,477,70,11,1,1,0,17.14,0
98,703,50,9,3,1,0,10.55,1
99,402,100,12,1,1,0,17.25,0
100,730,20,9,1,0,1,14.22,0
101,556,70,9,0,1,0,16.6,0
102,162,30,11,0,1,1,25.77,0
103,202,50,7,1,1,0,8.68,0
104,958,10,8,2,0,1,13.75,0
105,996,50,12,2,0,0,16.98,1
106,270,50,10,1,1,0,4.27,0
107,863,100,15,1,1,0,14.59,0
108,816,100,16,2,1,0,19.11,0
109,271,30,12,0,0,0,26.25,0
110,456,30,10,1,1,0,4.04,0
111,462,100,5,3,1,2,15.02,1
112,727,100,6,2,0,0,5.16,0
113,252,20,10,1,1,0,20.79,0
114,702,20,18,1,1,1,12.73,0
115,296,70,7,2,1,0,16.57,0
116,725,100,8,2,1,1,20.88,0
117,720,10,10,2,0,0,25.44,0
118,749,20,3,6,0,1,19.84,1
119,338,30,14,0,1,0,9.5,1
120,879,50,9,1,1,0,15.8,0
121,53,70,12,1,1,0,15.15,0
122,792,20,14,3,1,0,22.68,0
123,922,50,4,3,1,0,17.16,0
124,217,50,14,2,1,1,21.82,0
125,764,20,11,2,0,0,24.46,0
126,188,10,10,1,0,0,8.17,0
127,380,10,8,1,1,1,5.9,0
128,493,70,8,1,1,1,26.93,0
129,41,10,11,0,1,1,18.31,0
130,157,70,10,0,1,0,17.54,0
131,15,30,9,2,1,0,18.43,0
132,813,20,9,1,0,0,14.52,0
133,65,50,11,3,1,0,7.38,0
134,857,70,13,2,1,0,5.76,0
135,839,10,12,1,0,0,15.02,0
136,521,70,9,1,1,0,15.55,0
137,344,100,9,3,1,1,16.33,0
138,129,70,8,1,1,1,13.88,0
139,648,10,10,4,0,0,19.15,1
140,472,100,13,0,1,0,17.29,0
141,63,100,9,1,0,0,1.0,0
142,139,10,15,0,1,1,15.93,0
143,499,100,6,5,0,0,27.97,1
144,593,20,9,1,1,0,18.73,0
145,392,50,11,0,0,0,9.11,0
146,675,20,15,1,0,0,10.19,0
147,419,20,9,3,1,0,8.44,0
148,289,10,10,0,0,0,16.16,1
149,379,10,11,1,1,1,8.51,0
150,773,50,8,0,0,0,15.4,1
151,490,70,9,0,1,1,17.18,0
152,231,20,11,0,1,0,18.3,0
153,41,100,8,2,1,0,9.2,1
154,28,50,13,6,1,0,7.28,1
155,135,20,7,1,1,0,16.49,0
156,201,70,9,0,0,0,15.4,0
157,840,100,12,1,0,0,15.05,1
158,780,20,8,1,1,1,13.79,0
159,930,30,7,2,1,0,17.86,0
160,33,50,9,3,0,0,11.57,1
161,48,10,6,0,0,1,6.6,0
162,503,20,12,2,1,2,13.38,0
163,407,100,7,3,1,0,16.01,1
164,574,100,17,2,1,0,16.11,0
165,728,50,7,0,1,0,9.28,0
166,805,50,14,3,1,0,19.62,0
167,99,100,5,1,0,0,20.81,0
168,684,100,13,1,1,1,20.46,0
169,872,100,10,3,1,2,18.82,0
170,726,20,7,2,1,0,22.57,0
171,987,100,14,1,1,1,7.26,0
172,547,10,8,0,0,0,12.12,0
173,961,100,14,3,1,0,20.38,0
174,739,10,8,3,0,0,22.52,0
175,613,20,12,1,1,0,23.54,0
176,943,50,12,2,0,0,11.91,0
177,462,10,13,1,0,1,14.98,1
178,643,20,11,0,0,1,10.17,0
179,769,100,14,1,1,0,18.09,0
180,5,20,15,2,0,1,1.52,1
181,218,100,9,1,1,0,12.2,0
182,503,20,8,0,1,1,20.51,0
183,767,50,11,0,1,0,20.49,0
184,398,10,9,3,0,0,11.62,1
185,871,50,11,5,1,0,13.96,0
186,795,30,15,1,1,1,10.98,0
187,393,100,11,1,0,0,14.01,0
188,207,10,9,1,1,0,12.15,1
189,15,50,8,4,1,1,8.44,1
190,858,10,8,4,1,0,16.71,0
191,554,30,9,1,1,0,13.49,0
192,892,70,15,2,1,0,12.51,0
193,461,100,11,2,0,0,21.11,0
194,691,100,7,0,0,0,6.86,1
195,575,20,15,2,0,0,20.79,0
196,864,100,13,5,1,0,13.23,0
197,743,100,10,0,0,0,19.88,0
198,241,50,8,1,1,0,8.39,0
199,564,100,10,2,1,0,15.81,0
200,96,100,6,1,1,0,13.55,0
201,900,30,8,1,1,0,10.05,0
202,734,30,4,3,1,0,10.85,0
203,485,10,6,0,1,0,16.53,1
204,407,10,12,1,0,0,13.7,0
205,231,100,16,0,1,0,17.17,0
206,749,100,14,4,1,0,17.36,0
207,655,20,9,1,0,0,15.87,0
208,171,10,8,2,0,2,14.91,1
209,541,50,14,4,1,1,18.72,1
210,36,100,12,1,0,0,15.89,0
211,525,50,6,3,0,1,14.71,0
212,160,100,10,4,1,1,11.51,1
213,839,50,8,1,0,1,15.52,0
214,699,70,13,0,0,0,6.03,0
215,243,50,2,2,1,1,18.3,0
216,86,10,5,2,1,1,15.6,0
217,796,100,7,2,1,0,17.51,0
218,578,10,9,1,1,0,15.99,0
219,682,50,7,1,1,0,15.68,0
220,557,30,14,1,1,0,10.15,0
221,574,30,13,0,0,0,12.23,0
222,953,30,21,3,1,0,12.06,0
223,646,100,5,3,1,0,19.57,0
224,796,20,8,2,1,1,12.26,0
225,28,70,11,5,0,1,13.69,1
226,620,50,10,1,1,0,15.9,0
227,556,20,17,4,1,0,17.09,0
228,340,30,12,2,0,0,14.21,0
229,798,50,11,3,1,1,15.19,0
230,958,20,9,0,0,0,8.15,0
231,331,10,8,3,0,1,9.52,0
232,640,30,15,1,0,0,17.59,0
233,506,20,7,1,1,0,18.09,0
234,348,100,7,2,0,0,13.77,0
235,473,10,8,3,1,0,17.22,0
236,231,30,14,1,1,0,15.61,0
237,190,70,15,3,1,0,10.13,0
238,225,30,8,0,1,0,13.62,0
239,385,100,4,2,0,0,16.36,1
240,377,70,7,3,1,0,7.89,0
241,283,70,12,2,1,0,13.9,0
242,958,70,5,2,1,0,16.48,0
243,633,50,10,0,1,0,8.21,0
244,628,50,8,4,1,1,18.62,0
245,973,70,9,3,1,0,9.77,0
246,745,10,8,2,1,0,11.82,0
247,259,70,9,0,1,2,10.85,0
248,359,20,7,1,0,1,17.22,0
249,710,70,11,0,1,0,20.96,0
250,456,50,15,3,1,0,10.76,0
251,411,50,13,3,1,0,13.0,0
252,649,20,9,0,1,0,15.29,0
253,318,20,7,2,1,0,13.76,0
254,677,30,16,1,1,0,8.83,0
255,225,10,13,2,0,0,14.41,1
256,819,10,14,2,1,0,20.67,0
257,234,10,6,1,1,0,23.05,0
258,684,100,10,4,0,0,4.19,1
259,664,50,8,0,0,0,15.83,0
260,975,10,11,0,1,0,11.56,0
261,827,30,4,2,1,0,21.42,0
262,374,30,8,4,1,0,21.1,1
263,672,10,10,0,0,0,13.94,0
264,608,20,5,1,0,1,21.69,0
265,472,30,5,1,0,0,6.92,0
266,233,20,11,1,1,0,12.38,0
267,692,50,14,0,1,0,13.39,0
268,113,100,9,1,1,0,13.22,0
269,830,30,8,2,0,0,10.55,0
270,497,20,16,0,1,0,23.33,0
